date,parent_colony_a,parent_colony_b,cross_n,scint,leach_code,leachate,phase,hpf,fix_freeze,destiny,sample_id,cryo-tag label color,scint,cryo,cryo-degraded,micro,micro-degraded,cross-note,extracted?,extraction-date,extraction-note,microscopy-stitched,microscopy-note,annotated?
7/7/2024,H,15_orange,12,258,L,low,prawn,9,F,freeze,12L9F,tan,labelled,labelled,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,H,15_orange,12,259,M,mid,prawn,9,F,freeze,12M9F,tan,labelled,labelled,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,H,15_orange,12,260,H,high,prawn,9,F,freeze,12H9F,tan,labelled,labelled,,,,,TRUE,16-Aug-2024,,,,
7/7/2024,H,15_orange,12,261,C,control,gastrula,14,F,freeze,12C14F,blue,labelled,labelled,,,,,TRUE,19-Aug-2024,,,,
7/7/2024,H,15_orange,12,262,L,low,gastrula,14,F,freeze,12L14F,blue,labelled,labelled,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,H,15_orange,12,263,M,mid,gastrula,14,F,freeze,12M14F,blue,labelled,labelled,,,,,TRUE,26-Aug-2024,,,,
7/7/2024,H,15_orange,12,264,H,high,gastrula,14,F,freeze,12H14F,blue,labelled,labelled,,,,,TRUE,20-Aug-2024,,,,
7/7/2024,L,F,13,265,C,control,cleavage,4,F,freeze,13C4F,orange,fin!,filled with sample,,,,,TRUE,16-Aug-2024,,,,
7/7/2024,L,F,13,266,L,low,cleavage,4,F,freeze,13L4F,orange,fin!,filled with sample,,,,,TRUE,19-Aug-2024,,,,
7/7/2024,L,F,13,267,M,mid,cleavage,4,F,freeze,13M4F,orange,fin!,filled with sample,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,L,F,13,268,H,high,cleavage,4,F,freeze,13H4F,orange,fin!,filled with sample,,,,,TRUE,26-Aug-2024,,,,
7/7/2024,L,F,13,269,C,control,prawn,9,F,freeze,13C9F,tan,labelled,labelled,,,,,TRUE,20-Aug-2024,,,,
7/7/2024,L,F,13,270,L,low,prawn,9,F,freeze,13L9F,tan,labelled,labelled,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,L,F,13,271,M,mid,prawn,9,F,freeze,13M9F,tan,labelled,labelled,,,,,TRUE,19-Aug-2024,,,,
7/7/2024,L,F,13,272,H,high,prawn,9,F,freeze,13H9F,tan,labelled,labelled,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,L,F,13,273,C,control,gastrula,14,F,freeze,13C14F,blue,labelled,labelled,,,,,TRUE,20-Aug-2024,,,,
7/7/2024,L,F,13,274,L,low,gastrula,14,F,freeze,13L14F,blue,labelled,labelled,,,,,TRUE,26-Aug-2024,,,,
7/7/2024,L,F,13,275,M,mid,gastrula,14,F,freeze,13M14F,blue,labelled,labelled,,,,,TRUE,16-Aug-2024,,,,
7/7/2024,L,F,13,276,H,high,gastrula,14,F,freeze,13H14F,blue,labelled,labelled,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,Q,C,14,277,C,control,cleavage,4,F,freeze,14C4F,orange,fin!,filled with sample,,,,,TRUE,16-Aug-2024,,,,
7/7/2024,Q,C,14,278,L,low,cleavage,4,F,freeze,14L4F,orange,fin!,filled with sample,,,,,TRUE,19-Aug-2024,,,,
7/7/2024,Q,C,14,279,M,mid,cleavage,4,F,freeze,14M4F,orange,fin!,filled with sample,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,Q,C,14,280,H,high,cleavage,4,F,freeze,14H4F,orange,fin!,filled with sample,,,,,TRUE,26-Aug-2024,,,,
7/7/2024,Q,C,14,281,C,control,prawn,9,F,freeze,14C9F,tan,labelled,labelled,,,,,TRUE,20-Aug-2024,,,,
7/7/2024,Q,C,14,282,L,low,prawn,9,F,freeze,14L9F,tan,labelled,labelled,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,Q,C,14,283,M,mid,prawn,9,F,freeze,14M9F,tan,labelled,labelled,,,,,TRUE,19-Aug-2024,,,,
7/7/2024,Q,C,14,284,H,high,prawn,9,F,freeze,14H9F,tan,labelled,labelled,,,,,TRUE,21-Aug-2024,,,,
